,ons_code,euref,mp_x,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout,mp_name,mp_name_match,iv2_e,mp_y,iv2_c,iv2_d,iv2_g,iv1_b,iv1_d,iv1_h,iv1_j,iv1_k,iv1_l,iv1_m,iv1_o,mv3,mv2,mv1
17,E14000672,0.7041731848716297,Mike Wood MP,Dudley South,2128,776,2017 General Election,61323,7730,Con Hold,38244,Mike Wood,86.0,NoVote,Mike Wood,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,,AyeVote,AyeVote,AyeVote
18,E14000577,0.703942464,Mr Dennis Skinner MP,Bolsover,2963,1053,2017 General Election,73429,5288,Lab Hold,46519,Mr Dennis Skinner,92.0,AyeVote,Mr Dennis Skinner,AyeVote,,,AyeVote,NoVote,AyeVote,NoVote,AyeVote,NoVote,NoVote,NoVote,,NoVote,NoVote
19,E14000657,0.703479569,Jon Cruddas MP,Dagenham and Rainham,3101,904,2017 General Election,70616,4652,Lab Hold,45843,Jon Cruddas,88.0,NoVote,Jon Cruddas,AyeVote,AyeVote,NoVote,NoVote,AyeVote,,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote
20,E14001028,0.702792954,Rt Hon John Healey MP,Wentworth and Dearne,2404,1173,2017 General Election,74890,14803,Lab Hold,43947,John Healey,69.0,AyeVote,John Healey,AyeVote,AyeVote,,NoVote,,,AyeVote,AyeVote,,AyeVote,,NoVote,NoVote,NoVote
21,E14000995,0.702553097,Jackie Doyle-Price MP,Thurrock,4062,1287,2017 General Election,78154,345,Con Hold,50325,Jackie Doyle-Price,92.0,NoVote,Jackie Doyle-Price,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
22,E14000733,0.6956832972,Mike Hill MP,Hartlepool,2330,1040,2017 General Election,70718,7650,Lab Hold,41835,Mike Hill,86.0,NoVote,Mike Hill,AyeVote,NoVote,,NoVote,,,AyeVote,AyeVote,,NoVote,NoVote,NoVote,NoVote,NoVote
23,E14000643,0.69503821,Martin Vickers MP,Cleethorpes,2772,1219,2017 General Election,72711,10400,Con Hold,47844,Martin Vickers,90.0,NoVote,Martin Vickers,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote
24,E14000751,0.6949469368065605,Julia Lopez MP,Hornchurch and Upminster,4802,1267,2017 General Election,80802,17723,Con Hold,56045,Julia Lopez,88.0,NoVote,Julia Lopez,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
25,E14000842,0.693543227,Rt Hon Stephen Barclay MP,North East Cambridgeshire,4370,1347,2017 General Election,84414,21270,Con Hold,53284,Stephen Barclay,75.0,,Stephen Barclay,,,,,,,,,,,,AyeVote,AyeVote,AyeVote
26,E14000900,0.692856491611962,Andrew Rosindell MP,Romford,4490,1056,2017 General Election,73493,13778,Con Hold,49944,Andrew Rosindell,91.0,NoVote,Andrew Rosindell,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote
27,E14000836,0.6925528289025221,Rt Hon Yvette Cooper MP,"Normanton, Pontefract and Castleford",3080,1305,2017 General Election,81641,14499,Lab Hold,49191,Yvette Cooper,72.0,AyeVote,Yvette Cooper,AyeVote,AyeVote,,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
28,E14000798,0.6889943,Victoria Atkins MP,Louth and Horncastle,3605,1585,2017 General Election,79007,19641,Con Hold,52771,Victoria Atkins,91.0,NoVote,Victoria Atkins,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,AyeVote
29,E14000618,0.6886035313,Amanda Milling MP,Cannock Chase,2723,1136,2017 General Election,74540,8391,Con Hold,47872,Amanda Milling,90.0,NoVote,Amanda Milling,NoVote,NoVote,NoVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote,,AyeVote,AyeVote,AyeVote
30,E14000914,0.686755472,Nic Dakin MP,Scunthorpe,2347,891,2017 General Election,61578,3431,Lab Hold,40202,Nic Dakin,86.0,AyeVote,Nic Dakin,AyeVote,AyeVote,,NoVote,,,AyeVote,AyeVote,,AyeVote,NoVote,,,NoVote
31,E14001030,0.686708936,Mr Adrian Bailey MP,West Bromwich West,1780,657,2017 General Election,65967,4460,Lab Hold,36094,Mr Adrian Bailey,91.0,AyeVote,Mr Adrian Bailey,AyeVote,AyeVote,AyeVote,NoVote,AyeVote,,AyeVote,AyeVote,,AyeVote,NoVote,NoVote,NoVote,NoVote
32,E14000667,0.684864372,Rt Hon Caroline Flint MP,Don Valley,2863,1048,2017 General Election,73990,5169,Lab Hold,45988,Caroline Flint,74.0,NoVote,Caroline Flint,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,,AyeVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote
33,E14000904,0.683459631396763,Sarah Champion MP,Rotherham,2029,818,2017 General Election,63237,11387,Lab Hold,37923,Sarah Champion,90.0,NoVote,Sarah Champion,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,AyeVote,AyeVote,NoVote,NoVote,NoVote,NoVote,NoVote,NoVote
