,ons_code,euref,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout
280,E14000724,0.552317096,Haltemprice and Howden,4479,916,2017 General Election,71519,15405,Con Hold,51440
281,E14000981,0.552125757,Suffolk Coastal,7640,972,2017 General Election,79366,16012,Con Hold,58074
282,E14000877,0.552024096,Penrith and The Border,5010,870,2017 General Election,65139,15910,Con Hold,46470
283,N06000005,0.5519075701047057,East Antrim,3668,664,2017 General Election,62908,15923,DUP Hold,38143
284,W07000066,0.551631174,Carmarthen West and South Pembrokeshire,3803,743,2017 General Election,58565,3110,Con Hold,42226
285,E14000587,0.5515782933881336,Bradford East,2458,611,2017 General Election,70389,20540,Lab Hold,45622
286,W07000076,0.551359713,Caerphilly,3737,646,2017 General Election,64381,12078,Lab Hold,41297
287,E14000938,0.550987058,South East Cornwall,5808,1266,2017 General Election,71880,17443,Con Hold,53224
288,E14000950,0.550762028,South West Devon,5605,1057,2017 General Election,71260,15816,Con Hold,52857
289,E14000957,0.5507458096263264,Southend West,5420,887,2017 General Election,67677,10000,Con Hold,47191
290,E14000856,0.550462004,North West Durham,3907,984,2017 General Election,71918,8792,Lab Hold,47902
291,E14001033,0.549508129,West Lancashire,5118,744,2017 General Election,73257,11689,Lab Hold,54389
292,E14000624,0.548911911,Central Suffolk and North Ipswich,6444,962,2017 General Election,78116,17185,Con Hold,56524
293,E14000581,0.547996745,Bootle,5262,526,2017 General Election,72872,36200,Lab Hold,50288
294,E14000964,0.547660454,St Ives,6569,1031,2017 General Election,67145,312,Con Hold,51226
295,E14000857,0.547548756,North West Hampshire,7260,1065,2017 General Election,81430,22679,Con Hold,58772
296,E14000895,0.547104369,Richmond (Yorks),5593,1179,2017 General Election,80905,23108,Con Hold,57013
297,E14000696,0.546308785,Erith and Thamesmead,4158,716,2017 General Election,69724,10014,Lab Hold,44464
298,E14000801,0.545971778,Luton South,3697,447,2017 General Election,67188,13925,Lab Hold,46133
299,E14000612,0.545117526,Bury South,5636,749,2017 General Election,73715,5965,Lab Hold,50990
300,W07000042,0.544088866,Delyn,3503,618,2017 General Election,54090,4240,Lab Hold,39418
301,E14000880,0.5440523532,"Plymouth, Sutton and Devonport",7943,1054,2017 General Election,76584,6807,Lab Gain,51208
302,E14001051,0.5436750207863167,Wolverhampton South West,3478,459,2017 General Election,59971,2185,Lab Hold,42346
303,E14000685,0.543458993,Eastleigh,6970,895,2017 General Election,81212,14179,Con Hold,57280
304,E14000662,0.542503796,Derby North,5677,760,2017 General Election,69919,2015,Lab Gain,48672
305,E14000681,0.541993428,East Surrey,8531,1104,2017 General Election,82004,23914,Con Hold,59203
306,E14001057,0.541988663,Wyre and Preston North,4690,833,2017 General Election,72319,12246,Con Hold,52646
307,E14000603,0.54100848,Broadland,5936,928,2017 General Election,77334,15816,Con Hold,55971
308,E14000782,0.540619991,Leicester East,2599,278,2017 General Election,77788,22428,Lab Hold,52424
309,E14000930,0.54056915,Slough,4907,470,2017 General Election,83272,16998,Lab Hold,54295
310,E14000918,0.540405142,Sevenoaks,7987,937,2017 General Election,71565,21917,Con Hold,51218
311,E14000946,0.540262007,South Suffolk,6184,969,2017 General Election,75485,17749,Con Hold,54235
312,W07000069,0.54015405,Neath,2936,629,2017 General Election,55862,12631,Lab Hold,38285
313,E14000613,0.539924714,Bury St Edmunds,7364,1010,2017 General Election,86071,18441,Con Hold,62160
314,E14001001,0.538913636,Totnes,8488,963,2017 General Election,68914,13477,Con Hold,50270
315,E14000909,0.538778694,Rutland and Melton,6719,969,2017 General Election,78463,23104,Con Hold,57569
316,E14000570,0.5372925725441476,Blackburn,2290,645,2017 General Election,70664,20368,Lab Hold,47515
317,E14000584,0.536906946,Bournemouth East,7622,909,2017 General Election,74591,7937,Con Hold,48618
318,E14000682,0.536814482,East Worthing and Shoreham,8272,838,2017 General Election,75525,5106,Con Hold,53117
319,E14001052,0.5367724331,Worcester,6594,777,2017 General Election,73893,2508,Con Hold,51423
320,E14000611,0.536670312,Bury North,4503,803,2017 General Election,67580,4375,Lab Gain,47903
321,W07000056,0.536570798,Newport West,4849,542,2017 General Election,64399,5658,Lab Hold,43438
322,E14000990,0.536487467,Tewkesbury,7171,1024,2017 General Election,81440,22574,Con Hold,59084
323,E14001026,0.536303482,Wells,8246,1034,2017 General Election,82451,7582,Con Hold,60843
324,E14000545,0.53598782,Basingstoke,7419,934,2017 General Election,81875,9466,Con Hold,55960
325,S14000007,0.535944111,Banff and Buchan,3040,602,2017 General Election,67601,3693,Con Gain,41643
326,E14000911,0.5359345748349591,Salford and Eccles,7982,708,2017 General Election,78080,19132,Lab Hold,47619
327,E14000665,0.535341945,Devizes,6548,1044,2017 General Election,72184,21136,Con Hold,50593
328,E14000757,0.534889703,Huntingdon,8048,1019,2017 General Election,84273,14475,Con Hold,59720
329,E14000841,0.534376055,North East Bedfordshire,7883,1051,2017 General Election,87505,20862,Con Hold,64220
330,E14000931,0.5334830853417555,Solihull,5936,833,2017 General Election,77789,20571,Con Hold,56748
331,E14000942,0.533380204,South Northamptonshire,8148,1176,2017 General Election,85759,22840,Con Hold,64998
332,E14000766,0.533250952528061,Keighley,5654,970,2017 General Election,71429,239,Lab Gain,51714
333,E14000759,0.533092042,Ilford North,5711,422,2017 General Election,70791,9639,Lab Hold,52941
334,E14000781,0.532661381,Leeds West,6080,732,2017 General Election,67955,15965,Lab Hold,42229
335,E14000586,0.532448746,Bracknell,7521,975,2017 General Election,79199,16016,Con Hold,55892
336,W07000067,0.532082359,Carmarthen East and Dinefwr,3896,678,2017 General Election,55976,3908,PC Hold,41029
337,E14000928,0.531871441,Skipton and Ripon,7211,1057,2017 General Election,78104,19985,Con Hold,58138
338,E14000614,0.5316421306437098,Calder Valley,7799,1079,2017 General Election,79045,609,Con Hold,58054
339,N06000009,0.5309208080307349,Lagan Valley,5227,648,2017 General Election,72380,19229,DUP Hold,44926
340,E14000822,0.53081404,Milton Keynes South,8454,993,2017 General Election,92417,1725,Con Hold,64486
341,W07000059,0.530131181,Clwyd West,4075,669,2017 General Election,58263,3437,Con Hold,40654
342,E14000988,0.5292471057,Taunton Deane,8254,1073,2017 General Election,85457,15887,Con Hold,63053
343,E14000926,0.529205779,Shrewsbury and Atcham,7223,898,2017 General Election,79043,6627,Con Hold,58203
344,E14000813,0.528804536,Mid Bedfordshire,7364,987,2017 General Election,84161,20983,Con Hold,63138
345,E14000997,0.528574319,Tonbridge and Malling,8545,918,2017 General Election,77417,23508,Con Hold,56907
346,E14001027,0.528225561,Welwyn Hatfield,7748,736,2017 General Election,72888,7369,Con Hold,51669
347,E14001023,0.527748349,Wealden,8909,1018,2017 General Election,81425,23628,Con Hold,60464
348,N06000017,0.5261715432718289,Upper Bann,4349,625,2017 General Election,80168,7992,DUP Hold,51258
349,E14000646,0.526126911,Congleton,6183,955,2017 General Election,76694,12619,Con Hold,56231
350,W07000078,0.525506701,Vale of Glamorgan,6229,838,2017 General Election,73959,2190,Con Hold,53718
351,E14001035,0.525193924,West Worcestershire,7464,938,2017 General Election,74375,21328,Con Hold,56471
352,E14000607,0.525137019,Broxtowe,7603,777,2017 General Election,74013,863,Con Hold,55508
353,E14000814,0.524707075,Mid Derbyshire,5642,774,2017 General Election,67466,11616,Con Hold,50371
354,E14000728,0.523664029,Harborough,6427,752,2017 General Election,78810,12429,Con Hold,57598
355,E14000775,0.523421607,Knowsley,4077,597,2017 General Election,81760,42214,Lab Hold,55483
356,E14000925,0.5221134451714469,Shipley,7069,907,2017 General Election,73133,4681,Con Hold,53395
357,E14000738,0.5220859152570758,Hazel Grove,5806,734,2017 General Election,63166,5514,Con Hold,44132
358,W07000058,0.521971173,Aberconwy,3569,539,2017 General Election,45251,635,Con Hold,32150
359,E14000994,0.521900806,Thornbury and Yate,6306,739,2017 General Election,67892,12071,Con Hold,50690
360,E14000794,0.521680356,"Liverpool, Walton",3491,427,2017 General Election,62738,32551,Lab Hold,42197
361,E14000686,0.521666686,Eddisbury,5637,787,2017 General Election,70272,11942,Con Hold,51319
362,E14000776,0.519890842,Lancaster and Fleetwood,6435,734,2017 General Election,67154,6661,Lab Hold,45989
363,E14000552,0.5194916652913022,Bedford,5806,528,2017 General Election,71829,789,Lab Gain,48480
364,N06000001,0.5194331216229027,Belfast East,5497,552,2017 General Election,63495,8474,DUP Hold,42890
365,E14000811,0.519275309,Meon Valley,6521,1026,2017 General Election,74246,25692,Con Hold,54192
366,W07000068,0.518550864,Brecon and Radnorshire,4762,614,2017 General Election,56010,8038,Con Hold,41334
367,E14000983,0.51851554,Surrey Heath,8110,1006,2017 General Election,80764,24943,Con Hold,57822
368,E14000756,0.518508416,Huddersfield,3990,601,2017 General Election,67037,12005,Lab Hold,43834
369,E14000690,0.5181526511313745,Eltham,7834,666,2017 General Election,64474,6296,Lab Hold,46155
370,E14000538,0.517879098,Aylesbury,7558,869,2017 General Election,82546,14656,Con Hold,58783
371,E14000884,0.5176303439962113,Portsmouth South,7580,778,2017 General Election,69785,1554,Lab Gain,44566
372,E14000559,0.5170760650290732,Birkenhead,4487,625,2017 General Election,64484,25514,Lab Hold,43663
373,E14000985,0.517,Sutton Coldfield,5814,835,2017 General Election,75652,15339,Con Hold,52858
374,E14000947,0.516530941,South Swindon,6699,813,2017 General Election,72372,2464,Con Hold,51271
375,E14000846,0.516345075,North East Somerset,8328,760,2017 General Election,71355,10235,Con Hold,54043
376,E14000635,0.515858182,Chippenham,8511,848,2017 General Election,76432,16630,Con Hold,57140
377,E14000644,0.515144818,Colchester,7673,899,2017 General Election,79996,5677,Con Hold,53545
378,E14000890,0.515101462,Reading West,7473,653,2017 General Election,74523,2876,Con Hold,51766
379,E14000563,0.515,"Birmingham, Hodge Hill",1799,372,2017 General Election,75698,31026,Lab Hold,46394
380,E14000845,0.514300732,North East Hertfordshire,8383,870,2017 General Election,75965,16835,Con Hold,55580
381,S14000009,0.51339391,"Caithness, Sutherland and Easter Ross",3230,388,2017 General Election,46868,2044,LD Gain,30901
382,E14000984,0.512838788,Sutton and Cheam,7953,660,2017 General Election,70404,12698,Con Hold,51970
383,E14000910,0.512395335,Saffron Walden,8621,1068,2017 General Election,83072,24966,Con Hold,60911
384,E14000664,0.512354118,Derbyshire Dales,7005,729,2017 General Election,64430,14327,Con Hold,49571
385,E14000566,0.512,"Birmingham, Perry Barr",2299,345,2017 General Election,70106,18383,Lab Hold,44197
386,E14001021,0.511519779,Watford,8165,710,2017 General Election,86507,2092,Con Hold,58610
387,E14001018,0.511100543,Warrington South,7622,961,2017 General Election,85617,2549,Lab Gain,61995
388,E14001031,0.510392986,West Dorset,9033,1067,2017 General Election,82277,19091,Con Hold,59598
389,E14000977,0.510016675,Stratford-on-Avon,7575,802,2017 General Election,72572,21958,Con Hold,53532
390,W07000041,0.5094200416,Ynys Môn,3640,602,2017 General Election,52921,5259,Lab Hold,37367
391,E14000623,0.508869519,Central Devon,9113,990,2017 General Election,74370,15680,Con Hold,57844
392,E14000941,0.508843534,South Norfolk,7979,987,2017 General Election,83055,16678,Con Hold,61111
393,E14000745,0.5083652561,Hertsmere,7293,684,2017 General Election,73561,16951,Con Hold,52253
394,E14000784,0.508359919,Leicester West,3947,519,2017 General Election,64843,11060,Lab Hold,37512
395,E14000633,0.507327707,Chichester,9464,1112,2017 General Election,84991,22621,Con Hold,59918
396,E14000628,0.506832006,Chelmsford,7583,965,2017 General Election,81032,13572,Con Hold,56860
397,E14001024,0.50552837,Weaver Vale,5844,845,2017 General Election,69016,3928,Lab Gain,50613
398,E14000748,0.5054802765,High Peak,7736,805,2017 General Election,73248,2322,Lab Gain,53853
399,E14000678,0.504076662,East Devon,8571,1154,2017 General Election,82369,8036,Con Hold,60382
400,E14000651,0.503794929,Coventry South,6184,603,2017 General Election,70736,7947,Lab Hold,47009
401,E14000539,0.503477977,Banbury,9372,998,2017 General Election,83824,12399,Con Hold,61562
402,E14000932,0.503281438,Somerton and Frome,9993,1050,2017 General Election,84437,22906,Con Hold,63892
403,E14000654,0.5031024068820353,Croydon Central,7533,612,2017 General Election,80045,5652,Lab Gain,57091
404,E14000860,0.503021498,North Wiltshire,7724,908,2017 General Election,71408,22877,Con Hold,53706
405,W07000073,0.502766239,Bridgend,4106,588,2017 General Election,62185,4700,Lab Hold,43255
406,E14000797,0.500904207,Loughborough,6677,766,2017 General Election,79607,4269,Con Hold,54148
407,E14000645,0.500553492,Colne Valley,6928,963,2017 General Election,84387,915,Lab Gain,60420
408,E14000571,0.500392038,Blackley and Broughton,4068,514,2017 General Election,71648,19601,Lab Hold,40113
409,E14001010,0.4992311963439115,Wallasey,5057,705,2017 General Election,67454,23320,Lab Hold,48353
410,E14000912,0.499081401,Salisbury,7728,865,2017 General Election,72892,17333,Con Hold,53311
411,E14000634,0.49880471,Chingford and Woodford Green,7247,580,2017 General Election,65958,2438,Con Hold,46961
412,S14000046,0.4987319669,Moray,4764,578,2017 General Election,70649,4159,Con Gain,47605
413,E14000907,0.498469717,Runnymede and Weybridge,8793,870,2017 General Election,74888,18050,Con Hold,51609
414,E14000604,0.4982886934,Bromley and Chislehurst,8487,771,2017 General Election,65117,9590,Con Hold,46662
415,E14000796,0.498207198,"Liverpool, West Derby",4086,476,2017 General Election,65164,32908,Lab Hold,45163
416,E14000534,0.497011058,Arundel and South Downs,9807,1008,2017 General Election,79478,23883,Con Hold,60256
417,E14000821,0.496650905,Milton Keynes North,8986,1021,2017 General Election,89207,1915,Con Hold,63864
418,E14001059,0.496480992,Wythenshawe and Sale East,6691,635,2017 General Election,76361,14944,Lab Hold,45846
419,N06000002,0.4964475132592815,Belfast North,4851,431,2017 General Election,68249,2081,DUP Hold,45936
420,E14000906,0.495438455,"Ruislip, Northwood and Pinner",8322,641,2017 General Election,73427,13980,Con Hold,53382
421,E14000753,0.494864101,Horsham,9853,1037,2017 General Election,82772,23484,Con Hold,61987
422,E14000956,0.494121812,"Southampton, Test",7778,717,2017 General Election,70199,11503,Lab Hold,46903
423,W07000046,0.493087327,Gower,5190,530,2017 General Election,62163,3269,Lab Gain,45576
424,E14000680,0.492743694,East Hampshire,9123,883,2017 General Election,74151,25852,Con Hold,55408
425,E14000744,0.492372345,Hertford and Stortford,10140,905,2017 General Election,82339,19035,Con Hold,59992
426,E14000691,0.4921544261673582,Enfield North,5563,429,2017 General Election,68076,10247,Lab Hold,48565
427,E14000550,0.490062673,Beaconsfield,8869,800,2017 General Election,77524,24543,Con Hold,56028
428,E14000979,0.489054855,Stretford and Urmston,7514,631,2017 General Election,71833,19705,Lab Hold,50191
429,E14000608,0.488708672,Buckingham,9632,985,2017 General Election,79615,25725,Spk Hold,52679
430,E14000702,0.487730339,Filton and Bradley Stoke,8206,708,2017 General Election,72483,4190,Con Hold,50702
431,E14000886,0.485843639,Pudsey,7726,703,2017 General Election,72622,331,Con Hold,53959
432,E14001056,0.484619161,Wycombe,7794,624,2017 General Election,77087,6578,Con Hold,53493
433,S14000004,0.482443342,Angus,3883,398,2017 General Election,63840,2645,Con Gain,40192
434,W07000054,0.480645083,Monmouth,6866,641,2017 General Election,64909,8206,Con Hold,49734
435,E14000831,0.480030798,Newcastle upon Tyne Central,5520,477,2017 General Election,55368,14937,Lab Hold,37094
436,E14000893,0.479769787,Reigate,9456,871,2017 General Election,74628,17614,Con Hold,53823
437,N06000006,0.4797425591201637,East Londonderry,3400,367,2017 General Election,67038,8842,DUP Hold,41030
438,E14001032,0.479650184,West Ham,11086,377,2017 General Election,92418,36754,Lab Hold,60708
439,E14000708,0.479628137,Garston and Halewood,6250,582,2017 General Election,75248,32149,Lab Hold,53522
440,E14000991,0.479241838,The Cotswolds,9399,955,2017 General Election,80449,25499,Con Hold,59702
441,E14000830,0.478055628,Newbury,9316,980,2017 General Election,82924,24380,Con Hold,60849
442,E14000694,0.477807571,Epsom and Ewell,10280,820,2017 General Election,80029,20475,Con Hold,59266
443,N06000013,0.4764017475156756,North Down,5348,605,2017 General Election,64334,1208,Ind Hold,39185
444,E14001006,0.476370041,Tynemouth,7988,889,2017 General Election,77434,11666,Lab Hold,56858
445,S14000036,0.476138884,Glenrothes,3406,298,2017 General Election,66378,3267,SNP Hold,40399
446,E14000850,0.475836991,North Somerset,10586,835,2017 General Election,80529,17103,Con Hold,61994
447,E14000731,0.474785845400775,Harrow East,5274,298,2017 General Election,71755,1757,Con Hold,50845
448,W07000061,0.474282288,Dwyfor Meirionnydd,3603,454,2017 General Election,44699,4850,PC Hold,30348
449,E14000824,0.473113276,Mole Valley,10152,904,2017 General Election,74545,24137,Con Hold,56726
450,E14000560,0.473,"Birmingham, Edgbaston",6464,445,2017 General Election,68091,6917,Lab Hold,43612
451,E14000802,0.471837972,Macclesfield,8574,785,2017 General Election,75228,8608,Con Hold,54307
452,E14000730,0.471793551,Harrogate and Knaresborough,8573,790,2017 General Election,77280,18168,Con Hold,56740
453,E14000786,0.471421738,Lewes,11178,824,2017 General Election,70941,5508,Con Hold,54192
454,E14000601,0.4714179143,Bristol South,12568,714,2017 General Election,83012,15987,Lab Hold,54382
455,E14001037,0.470561736,Westmorland and Lonsdale,7477,691,2017 General Election,66391,777,LD Hold,51687
456,E14000567,0.469,"Birmingham, Selly Oak",7907,550,2017 General Election,74370,15207,Lab Hold,48985
457,E14000599,0.4679527183,Bristol East,9937,632,2017 General Election,72415,13394,Lab Hold,50799
458,E14000969,0.4678932178932179,Stockport,7110,535,2017 General Election,64236,14477,Lab Hold,41544
459,E14000589,0.46740854438475316,Bradford West,2559,350,2017 General Election,67568,21902,Lab Hold,45528
460,E14001042,0.46659077,Windsor,9344,866,2017 General Election,73595,22384,Con Hold,53921
461,E14000551,0.465816411,Beckenham,9338,663,2017 General Election,67925,15087,Con Hold,51630
462,E14001043,0.46548941644252134,Wirral South,5204,564,2017 General Election,57670,8323,Lab Hold,45195
463,W07000075,0.465109786,Pontypridd,4469,532,2017 General Election,60564,11448,Lab Hold,39894
464,E14000867,0.4646776483,Nottingham South,7095,506,2017 General Election,71182,15162,Lab Hold,48129
465,E14001015,0.46459651,Wantage,12132,928,2017 General Election,85786,17380,Con Hold,63602
466,E14000817,0.464405927,Mid Sussex,10678,923,2017 General Election,84170,19673,Con Hold,61632
467,E14001046,0.4634465746,Witney,10747,945,2017 General Election,82727,21241,Con Hold,60927
468,E14000958,0.462928366,Southport,5534,859,2017 General Election,69400,2914,Con Gain,47956
469,E14000679,0.462692813,East Ham,5558,262,2017 General Election,83928,39883,Lab Hold,56633
470,E14000675,0.46256092157731504,Ealing North,7521,310,2017 General Election,74764,19693,Lab Hold,52516
471,E14000767,0.462056819,Kenilworth and Southam,8056,722,2017 General Election,66319,18076,Con Hold,51321
472,E14000951,0.461954801,South West Hertfordshire,11058,807,2017 General Election,81087,19550,Con Hold,60653
473,E14000844,0.461789136,North East Hampshire,9620,929,2017 General Election,74576,27772,Con Hold,57627
474,E14000901,0.460755865,Romsey and Southampton North,7947,747,2017 General Election,67186,18046,Con Hold,50128
475,E14000777,0.45960968,Leeds Central,7498,767,2017 General Election,89537,23698,Lab Hold,47673
476,E14000980,0.458621591,Stroud,10915,935,2017 General Election,82839,687,Lab Gain,63816
477,E14001003,0.458503699,Truro and Falmouth,9852,883,2017 General Election,74683,3792,Con Hold,56647
478,E14000656,0.4580567492099587,Croydon South,9417,820,2017 General Election,83518,11406,Con Hold,61257
479,E14000987,0.456315582,Tatton,7458,805,2017 General Election,67874,14787,Con Hold,49116
480,E14000687,0.4550961719781256,Edmonton,3654,218,2017 General Election,65777,21115,Lab Hold,43678
481,W07000064,0.4537013739,Ceredigion,6160,578,2017 General Election,54262,104,PC Gain,39767
482,E14000746,0.453367357,Hexham,6613,719,2017 General Election,61053,9236,Con Hold,46224
483,E14000619,0.453274048,Canterbury,11383,877,2017 General Election,78182,187,Lab Gain,56800
484,E14000937,0.453048188,South East Cambridgeshire,13370,863,2017 General Election,86121,16158,Con Hold,63002
485,S14000013,0.451108539,Dumfries and Galloway,4858,524,2017 General Election,74206,5643,Con Gain,51599
486,E14000732,0.45056243167953736,Harrow West,7073,277,2017 General Election,69797,13314,Lab Hold,50355
487,E14000803,0.450257011,Maidenhead,10301,750,2017 General Election,76076,26457,Con Hold,58239
488,E14000631,0.4498498396,Chesham and Amersham,10319,767,2017 General Election,71654,22140,Con Hold,55252
489,E14000698,0.448278936,Exeter,11367,739,2017 General Election,77330,16117,Lab Hold,55423
490,S14000027,0.4476279944,Na h-Eileanan an Iar,1791,160,2017 General Election,21301,1007,SNP Hold,14818
491,E14001044,0.44690199582960977,Wirral West,5761,607,2017 General Election,55995,5365,Lab Hold,43951
492,E14000823,0.4468652380668139,Mitcham and Morden,7650,383,2017 General Election,68705,21375,Lab Hold,48118
493,E14001062,0.446677162,York Outer,8227,781,2017 General Election,75835,8289,Con Hold,57427
494,E14001004,0.446463372,Tunbridge Wells,10954,792,2017 General Election,74782,16465,Con Hold,54209
495,S14000014,0.446451668,"Dumfriesshire, Clydesdale and Tweeddale",5921,465,2017 General Election,67672,9441,Con Hold,48964
496,S14000037,0.442859814,Gordon,7002,475,2017 General Election,78531,2607,Con Gain,53685
497,E14001047,0.442519336,Woking,10599,745,2017 General Election,76170,16724,Con Hold,55246
498,S14000006,0.441115509,"Ayr, Carrick and Cumnock",4419,411,2017 General Election,71241,2774,Con Gain,46222
499,E14000916,0.440885873,Sefton Central,6251,574,2017 General Election,69019,15618,Lab Hold,52079
500,S14000030,0.4383731411,Glasgow East,3785,232,2017 General Election,66242,75,SNP Hold,36166
501,W07000079,0.438226362,Cardiff West,9031,430,2017 General Election,66775,12551,Lab Hold,46629
502,E14000597,0.435923134,"Brighton, Kemptown",11595,635,2017 General Election,67893,9868,Lab Gain,49207
503,S14000055,0.434930294,"Ross, Skye and Lochaber",6743,363,2017 General Election,53638,5919,SNP Hold,38454
504,W07000047,0.434007848,Swansea West,5568,486,2017 General Election,56892,10598,Lab Hold,37282
505,E14000641,0.43336734,City of Durham,6656,710,2017 General Election,71132,12364,Lab Hold,48324
506,E14000760,0.433097999,Ilford South,4660,202,2017 General Election,82487,31647,Lab Hold,57657
507,E14000593,0.43308903152905726,Brentford and Isleworth,15186,489,2017 General Election,85164,12182,Lab Hold,61629
508,S14000041,0.43261454,Kirkcaldy and Cowdenbeath,5492,355,2017 General Election,72721,259,Lab Gain,46193
509,S14000044,0.432609029,Livingston,7176,440,2017 General Election,81208,3878,SNP Hold,52505
510,S14000008,0.432586813,"Berwickshire, Roxburgh and Selkirk",6250,527,2017 General Election,73191,11060,Con Gain,52367
511,S14000001,0.430922087,Aberdeen North,6833,270,2017 General Election,62130,4139,SNP Hold,36757
512,E14000742,0.430858202,Henley,11675,767,2017 General Election,74997,22294,Con Hold,57099
513,E14000630,0.428989761,Cheltenham,10931,741,2017 General Election,78878,2569,Con Hold,57012
514,E14000591,0.428875883,Brent Central,9886,220,2017 General Election,80499,27997,Lab Hold,52296
515,E14000865,0.4287932214093995,Nottingham East,7233,389,2017 General Election,61760,19590,Lab Hold,39327
516,W07000080,0.428171979,Cardiff South and Penarth,8906,691,2017 General Election,76499,14864,Lab Hold,50736
517,E14001048,0.426940889,Wokingham,10871,818,2017 General Election,79111,18798,Con Hold,59690
518,E14000627,0.42653032637624316,Cheadle,8345,622,2017 General Election,73406,4507,Con Hold,54572
519,E14000592,0.426117511,Brent North,5941,221,2017 General Election,82567,17061,Lab Hold,56444
520,E14000783,0.424353547,Leicester South,6361,347,2017 General Election,75534,26261,Lab Hold,50517
521,S14000048,0.423965875,North Ayrshire and Arran,5118,359,2017 General Election,73176,3633,SNP Hold,47433
522,E14000640,0.422757087,City of Chester,8843,652,2017 General Election,72859,9176,Lab Hold,56421
523,S14000028,0.421058823,Falkirk,6821,424,2017 General Election,82240,4923,SNP Hold,53809
524,S14000043,0.42018303,Linlithgow and East Falkirk,7692,409,2017 General Election,86186,2919,SNP Hold,56094
525,E14000676,0.41826349122842515,"Ealing, Southall",6428,186,2017 General Election,65188,22090,Lab Hold,45145
526,E14001019,0.41640274,Warwick and Leamington,11324,616,2017 General Election,74237,1206,Lab Gain,54055
527,S14000010,0.416221328,Central Ayrshire,4648,311,2017 General Election,68999,1267,SNP Hold,45087
528,E14000600,0.4159740642,Bristol North West,11990,593,2017 General Election,75434,4761,Lab Gain,54096
529,E14000741,0.415741752,Hendon,8442,388,2017 General Election,76522,1072,Con Hold,52215
530,E14000697,0.415663302,Esher and Walton,13596,833,2017 General Election,80938,23298,Con Hold,59842
531,E14000908,0.414661238,Rushcliffe,10658,614,2017 General Election,74738,8010,Con Hold,58311
532,N06000007,0.4144275094480668,Fermanagh and South Tyrone,4176,289,2017 General Election,70601,875,SF Gain,53481
533,E14000719,0.41202344,Guildford,12697,704,2017 General Election,75291,17040,Con Hold,55509
534,N06000014,0.4118350045749071,South Antrim,4436,501,2017 General Election,68244,3208,DUP Gain,43170
535,E14000655,0.41168066041063994,Croydon North,9237,313,2017 General Election,87461,32365,Lab Hold,59623
536,E14000636,0.410745779,Chipping Barnet,12483,467,2017 General Election,77218,353,Con Hold,55423
537,E14000832,0.410712554,Newcastle upon Tyne East,8912,558,2017 General Election,61989,19261,Lab Hold,41637
538,S14000035,0.4086436703,Glasgow South West,4548,211,2017 General Election,62991,60,SNP Hold,35378
539,E14000770,0.408444531,Kingston and Surbiton,14177,618,2017 General Election,81588,4124,LD Gain,62178
540,E14000953,0.407497131,South West Surrey,13000,789,2017 General Election,78042,21590,Con Hold,60432
541,S14000016,0.407456334,Dundee West,6424,269,2017 General Election,62644,5262,SNP Hold,38677
542,S14000032,0.406576167,Glasgow North East,4595,201,2017 General Election,59931,242,Lab Gain,31775
543,E14000864,0.405303001,Norwich South,11739,537,2017 General Election,74182,15596,Lab Hold,51359
544,S14000051,0.402813083,Orkney and Shetland,3398,312,2017 General Election,34164,4563,LD Hold,23277
545,S14000039,0.401324389,"Inverness, Nairn, Badenoch and Strathspey",7754,460,2017 General Election,76844,4924,SNP Hold,52801
546,S14000054,0.399016464,Perth and North Perthshire,7196,413,2017 General Election,71762,21,SNP Hold,51525
547,S14000003,0.398381266,Airdrie and Shotts,3668,255,2017 General Election,64146,195,SNP Hold,38002
548,E14000749,0.39793519538378075,Hitchin and Harpenden,12846,628,2017 General Election,75916,12031,Con Hold,58783
549,E14001041,0.396373786,Winchester,12260,712,2017 General Election,72497,9999,Con Hold,57156
550,N06000010,0.3961000683784867,Mid Ulster,3511,184,2017 General Election,68485,12890,SF Hold,46694
551,S14000050,0.395023841,Ochil and South Perthshire,7540,421,2017 General Election,76767,3359,Con Gain,54168
552,S14000040,0.394546665,Kilmarnock and Loudoun,4875,316,2017 General Election,73327,6269,SNP Hold,46509
553,S14000005,0.3943239691,Argyll and Bute,7215,522,2017 General Election,67230,1328,SNP Hold,48069
554,S14000017,0.393928374,Dunfermline and West Fife,7629,417,2017 General Election,75672,844,SNP Hold,51010
555,S14000058,0.39168773,West Aberdeenshire and Kincardine,8079,433,2017 General Election,72477,7950,Con Gain,51625
556,W07000051,0.391478544,Cardiff North,9139,482,2017 General Election,67221,4174,Lab Gain,52022
557,E14001061,0.388206767,York Central,11662,666,2017 General Election,77315,18575,Lab Hold,53088
558,S14000011,0.387765475,"Coatbridge, Chryston and Bellshill",5135,229,2017 General Election,71198,1586,Lab Gain,45040
559,E14000532,0.385878,Altrincham and Sale West,10207,621,2017 General Election,73226,6426,Con Hold,52790
560,E14000934,0.384889637,South Cambridgeshire,16206,841,2017 General Election,85257,15952,Con Hold,64924
561,S14000015,0.384116704,Dundee East,5764,271,2017 General Election,65854,6645,SNP Hold,42928
562,E14000889,0.382533265,Reading East,12375,519,2017 General Election,75537,3749,Lab Gain,55238
