,ons_code,euref,constituency,revoke_sign_count,nodeal_sign_count,election,electorate,majority,resultOfElection,turnout
62,E14000859,0.657782861,North West Norfolk,3653,947,2017 General Election,72062,13788,Con Hold,48811
63,E14000606,0.655347732,Broxbourne,4053,832,2017 General Election,73502,15792,Con Hold,47485
64,E14000715,0.6537720795,Gravesham,3935,1026,2017 General Election,72954,9347,Con Hold,48997
65,E14000927,0.653644888,Sittingbourne and Sheppey,3598,1363,2017 General Election,81717,15211,Con Hold,51389
66,E14000533,0.652991247,Amber Valley,3098,938,2017 General Election,68065,8300,Con Hold,45811
67,E14000820,0.652655298,Middlesbrough South and East Cleveland,3009,1125,2017 General Election,72336,1020,Con Gain,47620
68,E14000558,0.652551375,Bexleyheath and Crayford,3943,913,2017 General Election,65315,9073,Con Hold,45189
69,E14000945,0.6524281718789728,South Staffordshire,2960,987,2017 General Election,73441,22733,Con Hold,51109
70,E14000852,0.651825616,North Thanet,4585,1134,2017 General Election,72651,10738,Con Hold,48325
71,E14000805,0.649100879,Makerfield,2858,950,2017 General Election,74259,13542,Lab Hold,46933
72,E14000972,0.648466478,Stoke-on-Trent Central,2433,619,2017 General Election,56915,3897,Lab Hold,33145
73,E14000610,0.647931575,Burton,3760,844,2017 General Election,73954,10047,Con Hold,49911
74,E14000576,0.64792305,Bognor Regis and Littlehampton,4645,1181,2017 General Election,75827,17494,Con Hold,51352
75,E14000966,0.646904325,Staffordshire Moorlands,3244,797,2017 General Election,63260,10830,Con Hold,44655
76,E14000868,0.645059931,Nuneaton,3026,898,2017 General Election,69201,4739,Con Hold,46067
77,E14000961,0.640636337,St Austell and Newquay,5164,1313,2017 General Election,78609,11142,Con Hold,54212
78,E14000659,0.639834539,Dartford,4720,1085,2017 General Election,78506,13186,Con Hold,54224
79,E14000626,0.639053918,Chatham and Aylesford,3511,984,2017 General Election,70419,10458,Con Hold,44890
80,E14000866,0.6380805601,Nottingham North,2586,630,2017 General Election,66886,11160,Lab Hold,38319
81,E14000883,0.6369341445681705,Portsmouth North,4007,1118,2017 General Election,71374,9965,Con Hold,47210
82,E14000898,0.6368812299374894,Rochester and Strood,5030,1151,2017 General Election,82702,9850,Con Hold,53769
83,E14000976,0.6366398328043966,Stourbridge,3380,862,2017 General Election,70215,7654,Con Hold,47135
84,E14000683,0.636621847,East Yorkshire,4009,1322,2017 General Election,81065,15006,Con Hold,53956
85,E14000924,0.636577392,Sherwood,4013,1130,2017 General Election,76196,5198,Con Hold,53364
86,E14000711,0.6358208955223881,Gillingham and Rainham,3741,1031,2017 General Election,72903,9430,Con Hold,48868
87,E14000588,0.6356121775069772,Bradford South,2198,838,2017 General Election,67752,6700,Lab Hold,41049
88,E14001022,0.63414219,Waveney,3928,1173,2017 General Election,80763,9215,Con Hold,52674
89,E14000785,0.632878009,Leigh,3301,919,2017 General Election,76202,9554,Lab Hold,46874
90,E14001034,0.632487003,West Suffolk,5282,1063,2017 General Election,77348,17063,Con Hold,51746
91,E14000695,0.632237912,Erewash,4108,921,2017 General Election,72995,4534,Con Hold,49781
92,E14000875,0.631542958,Pendle,2397,919,2017 General Election,64962,1279,Con Hold,44854
93,E14001058,0.6314547474,Wyre Forest,3875,991,2017 General Election,77758,13334,Con Hold,51129
94,E14000579,0.630276743,Bolton South East,2267,696,2017 General Election,68886,13126,Lab Hold,42323
95,E14001025,0.630196654,Wellingborough,4387,1083,2017 General Election,79254,12460,Con Hold,53240
96,E14000670,0.630096124,Dover,4928,1310,2017 General Election,74564,6437,Con Hold,51966
97,E14000561,0.63,"Birmingham, Erdington",2592,629,2017 General Election,65067,7285,Lab Hold,37217
98,E14001039,0.629588907,Wigan,3446,922,2017 General Election,75359,16027,Lab Hold,47542
99,E14001009,0.6276506724901525,Wakefield,3540,941,2017 General Election,70340,2176,Lab Hold,46284
100,E14000878,0.626801331,Peterborough,4485,880,2017 General Election,71522,607,Lab Gain,47738
101,E14000736,0.62617908,Havant,4429,1056,2017 General Election,72470,15956,Con Hold,46314
102,E14000999,0.62453668,Torbay,4574,1236,2017 General Election,75931,14283,Con Hold,51174
103,E14000754,0.6243418578412937,Houghton and Sunderland South,2402,943,2017 General Election,68123,12341,Lab Hold,41480
104,E14000869,0.624304876,Old Bexley and Sidcup,4637,951,2017 General Election,66005,15466,Con Hold,48042
105,E14000747,0.6242561163764602,Heywood and Middleton,3480,1019,2017 General Election,79901,7617,Lab Hold,49865
106,N06000012,0.6222445695897023,North Antrim,3187,576,2017 General Election,75657,20643,DUP Hold,48460
107,E14000595,0.620639832,Bridgwater and West Somerset,5153,1184,2017 General Election,89294,15448,Con Hold,58267
